pts, length, steps, init_time, run_time, stacks, stack_items, error_items
78, 112, 136, 0.051254, 0.010956, 7, 44, 8
73, 98, 10000, 0.049416, 0.220347, 6, 3336, 2
262, 1450, 10000, 2.454514, 0.924337, 7, 3408, 4
35, 46, 47, 0.0307, 0.000659, 7, 21, 6
66, 106, 336, 0.063015, 0.055936, 7, 79, 5
256, 610, 347, 0.719641, 0.705317, 7, 92, 7
61, 94, 323, 0.121958, 0.061182, 6, 26, 0
42, 54, 51, 0.030795, 0.153662, 6, 19, 1
272, 1475, 10000, 2.535557, 0.531927, 7, 3417, 4
207, 544, 59, 0.64458, 0.235617, 6, 22, 1
244, 1189, 2476, 1.903763, 2.194149, 7, 492, 59
15, 22, 20, 0.011504, 0.000217, 6, 12, 2
251, 1083, 10000, 1.803089, 0.306187, 7, 2597, 7
202, 635, 10000, 0.830854, 0.346427, 7, 2897, 11
171, 445, 506, 0.517999, 0.347107, 7, 170, 56
73, 103, 513, 0.110287, 0.028504, 6, 109, 83
188, 502, 10000, 0.682716, 0.390917, 7, 1715, 5
174, 327, 230, 0.374995, 0.119522, 7, 44, 13
171, 538, 607, 0.716227, 0.461726, 7, 191, 4
164, 390, 79, 0.44941, 0.106273, 7, 35, 5
183, 342, 247, 0.302336, 0.225655, 7, 92, 10
223, 521, 301, 0.610327, 0.313821, 7, 113, 7
89, 182, 131, 0.160919, 0.129604, 7, 51, 9
229, 975, 10000, 1.596409, 0.682264, 7, 2008, 5
109, 225, 181, 0.261023, 0.009851, 7, 64, 10
99, 277, 115, 0.320527, 0.031498, 7, 50, 8
58, 76, 72, 0.032097, 0.171283, 5, 27, 0
224, 989, 1138, 1.54926, 0.912294, 7, 237, 8
48, 65, 65, 0.031573, 0.008445, 7, 30, 6
132, 209, 199, 0.165429, 0.391005, 7, 71, 3
83, 141, 102, 0.139983, 0.001335, 7, 42, 10
134, 308, 10000, 0.324609, 0.350758, 6, 3363, 3291
87, 133, 10000, 0.129265, 0.165137, 6, 2535, 1
216, 1048, 489, 1.68685, 0.68586, 7, 156, 11
202, 571, 10000, 0.800342, 0.069691, 5, 3424, 833
123, 272, 592, 0.332647, 0.0718679999999999, 7, 212, 4
93, 154, 110, 0.15466, 0.054596, 7, 43, 7
142, 418, 107, 0.577289, 0.123117, 7, 39, 4
97, 172, 388, 0.159866, 0.010342, 7, 136, 45
291, 2044, 112, 3.508986, 0.001244, 7, 48, 3
